obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
,420.66,17.81,27.2,16.38,0.34,14.4,0.17,1.63,1,41.15,-74.02,124.39
,443.68,17.57,27.72,15.46,0.34,14.4,0.17,1.63,1,41.15,-74.02,124.39
,443.68,17.57,27.72,15.46,0.35,33.38,0.11,1.54,1,41.15,-74.02,124.39
32.82,365.31,17.58,26.45,12.1,0.36,35.08,0.12,1.45,1,43.11,-73.86,221.03
32.82,365.31,17.58,26.45,12.1,0.44,13.84,0.41,1.42,1,43.11,-73.86,221.03
32.82,365.31,17.58,26.45,12.1,0.36,81.36,0.05,1.54,1,43.11,-73.86,221.03
34.61,363.03,18.4,24.89,10.84,0.38,44.98,0.12,1.35,1,42.49,-75.61,442.22
34.61,363.03,18.4,24.89,10.84,0.37,35.81,0.14,1.45,1,42.49,-75.61,442.22
34.61,363.03,18.4,24.89,10.84,0.31,21.4,0.12,1.71,1,42.49,-75.61,442.22
33,373.28,19.66,23.73,9.68,0.37,104.67,0.11,1.49,1,42.25,-78.68,521.93
33,419.96,19.59,24.18,10.36,0.33,21.36,0.12,1.67,1,42.25,-78.68,521.93
33,419.96,19.59,24.18,10.36,0.33,12.29,0.22,1.72,1,42.25,-78.68,521.93
34.3,341.98,19.88,25.4,14.61,0.37,117.06,0.11,1.5,1,42.23,-79.37,425.65
34.3,401.05,19.75,24.06,14.93,0.37,37.47,0.12,1.41,1,42.23,-79.37,425.65
34.3,401.05,19.75,24.06,14.93,0.37,35.45,0.12,1.4,1,42.23,-79.37,425.65
29.19,360.52,17.82,25.46,11.96,0.35,9.29,0.28,1.68,1,42.6,-73.97,238.18
29.19,360.52,17.82,25.46,11.96,0.38,26.81,0.18,1.47,1,42.6,-73.97,238.18
29.19,360.52,17.82,25.46,11.96,0.44,11.02,0.45,1.44,1,42.6,-73.97,238.18
30.31,332.81,17.13,25.98,13.15,0.35,11.56,0.27,1.65,1,42.82,-74.06,215.7
30.31,332.81,17.13,25.98,13.15,0.39,47.21,0.12,1.35,1,42.82,-74.06,215.7
30.31,390.99,17.89,24.88,12.45,0.35,11.56,0.27,1.65,1,42.82,-74.06,215.7
32.1,412.72,17.95,23.93,11.32,0.39,55.08,0.11,1.37,1,41.72,-74.77,431.87
32.1,412.72,17.95,23.93,11.32,0.37,33.18,0.16,1.36,1,41.72,-74.77,431.87
32.1,412.72,17.95,23.93,11.32,0.34,22.66,0.12,1.6,1,41.72,-74.77,431.87
34.39,381.31,18.22,25.62,12.21,0.36,30.82,0.12,1.45,1,41.77,-73.74,163.99
34.39,381.31,18.22,25.62,12.21,0.36,37,0.12,1.5,1,41.77,-73.74,163.99
34.39,381.31,18.22,25.62,12.21,0.34,24.42,0.12,1.59,1,41.77,-73.74,163.99
,369.27,18.13,26.6,13.57,0.35,27.99,0.12,1.47,1,41.43,-73.75,196.18
,369.27,18.13,26.6,13.57,0.35,31.01,0.12,1.57,1,41.43,-73.75,196.18
,443.68,17.57,27.72,15.46,0.31,16,0.12,1.69,1,41.43,-73.75,196.18
32.77,335.75,18.58,24.54,13.69,0.43,18.27,0.26,1.42,1,44.04,-75.91,165.75
32.77,335.75,18.58,24.54,13.69,0.4,25.59,0.17,1.39,1,44.04,-75.91,165.75
32.77,335.75,18.58,24.54,13.69,0.37,39.51,0.12,1.41,1,44.04,-75.91,165.75
34.48,465.85,19.38,22.34,11.34,0.33,16.89,0.11,1.67,1,43.78,-75.45,396.12
34.48,335.75,18.58,24.54,13.69,0.38,36.24,0.14,1.4,1,43.78,-75.45,396.12
34.48,335.75,18.58,24.54,13.69,0.33,16.89,0.11,1.67,1,43.78,-75.45,396.12
33.07,392.72,17.89,26.02,11.68,0.34,215.41,0.03,1.66,1,43.56,-73.85,383.48
33.07,311.68,17.97,25.03,12.21,0.44,14.4,0.39,1.43,1,43.56,-73.85,383.48
33.07,311.68,17.97,25.03,12.21,0.38,193.69,0.03,1.55,1,43.56,-73.85,383.48
34.3,376.46,19.16,24.87,12.12,0.32,24.06,0.12,1.67,1,42.6,-76.07,450.62
34.3,376.46,19.16,24.87,12.12,0.39,23.73,0.27,1.48,1,42.6,-76.07,450.62
34.3,376.46,19.16,24.87,12.12,0.33,10.76,0.22,1.73,1,42.6,-76.07,450.62
30.62,314.53,19.44,23.74,14.4,0.39,36,0.1,0,1,43.43,-76.14,174.64
30.62,314.53,19.44,23.74,14.4,0.39,59.56,0.11,1.39,1,43.43,-76.14,174.64
30.62,350.1,19.29,25.34,13.88,0.44,13.41,0.41,1.43,1,43.43,-76.14,174.64
32.15,401.52,18.32,24.91,12.02,0.35,12.28,0.22,1.62,1,43.42,-74.96,467.8
32.15,401.52,18.32,24.91,12.02,0.35,8.82,0.3,1.7,1,43.42,-74.96,467.8
32.15,401.52,18.32,24.91,12.02,0.39,17.58,0.22,1.49,1,43.42,-74.96,467.8
31.88,360.87,19.12,23.7,13.05,0.31,23.08,0.12,1.67,1,42.16,-75.82,402.6
31.88,360.87,19.12,23.7,13.05,0.38,39.25,0.12,1.36,1,42.16,-75.82,402.6
31.88,360.87,19.12,23.7,13.05,0.33,10.86,0.22,1.71,1,42.16,-75.82,402.6
36.63,318.66,19.62,24.91,12.27,0.37,34.33,0.12,1.41,1,44.75,-73.68,280.77
36.63,318.66,19.62,24.91,12.27,0.39,93.72,0.12,1.45,1,44.75,-73.68,280.77
36.63,318.66,19.62,24.91,12.27,0.44,12.06,0.37,1.43,1,44.75,-73.68,280.77
34.97,391.8,18.44,24.73,11.18,0.34,26.27,0.12,1.56,1,42.2,-74.97,556.58
34.97,418.28,18.01,25.16,10.74,0.38,84.62,0.1,1.4,1,42.2,-74.97,556.58
34.97,418.28,18.01,25.16,10.74,0.34,26.27,0.12,1.56,1,42.2,-74.97,556.58
32.73,412.76,18.3,23.63,11.99,0.41,22.28,0.22,1.37,1,42.63,-75.03,475.33
32.73,391.8,18.44,24.73,11.18,0.34,65.47,0.11,1.55,1,42.63,-75.03,475.33
32.73,391.8,18.44,24.73,11.18,0.33,28.38,0.12,1.6,1,42.63,-75.03,475.33
32.86,409.48,17.77,24.08,14.91,0.35,25.16,0.14,1.48,1,41.89,-74.26,340.41
32.86,409.48,17.77,24.08,14.91,0.33,26.96,0.12,1.62,1,41.89,-74.26,340.41
32.86,409.48,17.77,24.08,14.91,0.38,39.18,0.12,1.41,1,41.89,-74.26,340.41
